source,review_description,rating,review_date
Google Play,Do I need to sign up Instagram? Why does it hard to start Threads? I try to surf Threads but it quite complicated and huge rules to sign up. (1/10) I prefer personal email.,1,25-08-2023 14:46
Google Play,1m follow,5,25-08-2023 14:43
Google Play,This app is really good app,1,25-08-2023 14:22
Google Play,What a pointless repetitive app. Why use this if you already use instacrap,1,25-08-2023 14:17
Google Play,It can be better,3,25-08-2023 13:46
Google Play,Diii,4,25-08-2023 13:38
Google Play,Nice🥰,5,25-08-2023 13:28
Google Play,I don't know why people hate this platform I love insta and threads the are best try and give 5 star ❤️❤️❤️❤️,5,25-08-2023 12:32
Google Play,Dog poo echo chamber for the left.,1,25-08-2023 12:31
Google Play,nice App,5,25-08-2023 12:23
Google Play,Getting the hang,5,25-08-2023 12:16
Google Play,TO CHEGHAD BIKARI KE DARI REVIEWS RO NEGAH MIKONI,1,25-08-2023 12:02
Google Play,Needs to be updated,4,25-08-2023 11:08
Google Play,Very bad app,1,25-08-2023 10:53
Google Play,Followers Instagram and king,5,25-08-2023 10:44
Google Play,"As I said it had a solid start but if the updates can't come sooner than later than I don't see this app lasting at all anymore, but hope they come soon enough :(",1,25-08-2023 10:24
Google Play,Very good app,5,25-08-2023 10:18
Google Play,"This is one of the best text based apps I've downloaded, it has such a simple design and interesting UI, it worths downloading. Developers, Some features like Toggling of dark mode, thread DM's and even a visible insight button on how many accounts a thread has reached will make the app more interesting. I hope to see these features in the next big update.",5,25-08-2023 10:14
Google Play,Good,5,25-08-2023 9:04
Google Play,Please my Instagram I'd @itz_huzaif_modal please give me threads badge return please threads app,5,25-08-2023 8:46
Google Play,😈,5,25-08-2023 8:16
Google Play,Just another social media app where everyone wants to be a star,3,25-08-2023 7:39
Google Play,Good,5,25-08-2023 7:32
Google Play,Beat X？I don't think so,1,25-08-2023 7:27
Google Play,Absolutely a fail! Sorry back to x!,1,25-08-2023 6:49
Google Play,Pointless,2,25-08-2023 6:23
Google Play,Waste of time app,2,25-08-2023 6:03
Google Play,this is excellent app,5,25-08-2023 6:02
Google Play,UI is great I wish you have this kind of UI on WhatsApp and fb too but excuse me can you please rather then making a different app put all threads features on Instagram somewhere. 2 different features in one app will be better. I don't need this app.,1,25-08-2023 5:57
Google Play,Gd apk,5,25-08-2023 5:43
Google Play,pls add hashtag and trends,3,25-08-2023 5:42
Google Play,🤍🌪🪐,5,25-08-2023 5:02
Google Play,Amezing app linked on Instagram,5,25-08-2023 4:57
Google Play,There's nothing to encourage me to stick with it. It's more about pushing accounts I don't follow than letting me view the ones I'm interested in. Cannon fodder for promoting.,1,25-08-2023 4:40
Google Play,Make Threads Great without Instagram. Should be stand alone app.,4,25-08-2023 4:33
Google Play,I can't log in into threads😰,1,25-08-2023 4:23
Google Play,Its crashing,1,25-08-2023 3:56
Google Play,"This app NEEDS a better search if it's truly going to replace Twitter. Once we get that, I'll happily give it 4 stars. If we get bookmarks and gifs in addition to that, I'll give it 5.",3,25-08-2023 3:47
Google Play,"Decent app but missing some core functionality. This is an Instagram App, let me double tap to like something",4,25-08-2023 3:35
Google Play,This aap is so osam,5,25-08-2023 3:09
Google Play,💀,1,25-08-2023 2:52
Google Play,Average,2,25-08-2023 2:41
Google Play,Bicky,5,25-08-2023 2:40
Google Play,Why there is no option for using two accounts at a time,2,25-08-2023 2:37
Google Play,too monotonous do not thrive,1,25-08-2023 2:16
Google Play,Very poor app,1,25-08-2023 1:36
Google Play,"Doing good so far, but seriously needs a trending feature. Like, now.",4,25-08-2023 1:21
Google Play,Very good,5,25-08-2023 1:16
Google Play,Better,5,25-08-2023 0:57
Google Play,My videos freeze when I enable sound. Update: Videos still freeze whenever I enable sound. Can't watch any videos with sound turned on. Not a problem on my side because every other app seems to work fine with sound.,1,25-08-2023 0:40
Google Play,💯,5,25-08-2023 0:20
Google Play,It's really clunky to use. Really difficult to follow a thread. 🙄,2,25-08-2023 0:05
Google Play,I wish you get better timeline scrolling. I don't want the most recent threads at the top. I want to scroll to the top to get there. Fix it,2,24-08-2023 23:27
Google Play,"The people are great, a lot of good discussions, but the app is getting buggier by the day, posting errors galore, and can't copy the failed posts to repost, have to type the whole thing out again... And where is the promised desk top version? The website just shows the same thing it's shown since day one... Weak sauce, Zuckerberg... Weak sauce.",2,24-08-2023 22:41
Google Play,Good app,5,24-08-2023 19:38
Google Play,Garbage. Just use Twitter,1,24-08-2023 19:26
Google Play,Bad,1,24-08-2023 18:27
Google Play,Nice,5,24-08-2023 18:26
Google Play,Useless,1,24-08-2023 18:21
Google Play,Great on android.,4,24-08-2023 18:03
Google Play,"The time stamps are not accurate. I posted a few things on here well over 3 / 4 weeks ago and I noticed the ""time stamp"" (1 w, 6 days...etc.) is incorrect. It seems like alot just to place reports in a seperate tab. Maybe, some people like to see that on their main page. The majority of people aren't going to spend time tabbing through someone's profile just like instagram.",4,24-08-2023 17:51
Google Play,কপি করা মাল কখনোই ভালো হয়না। এরচেয়ে শতগুণ ভালো X/Twitter.,1,24-08-2023 17:33
Google Play,Entha Payanum Illa.,2,24-08-2023 17:30
Google Play,Sunny king 👑___🥀___💔😇☞__🙇,1,24-08-2023 17:23
Google Play,Nice,5,24-08-2023 17:19
Google Play,Super,5,24-08-2023 17:08
Google Play,Ewww,1,24-08-2023 17:02
Google Play,Good,5,24-08-2023 17:01
Google Play,Nice,5,24-08-2023 16:36
Google Play,"Afterall its an Instagram app, lacks important personalities as competition and need much improvement in feed as it resembles very much photographs of models or memes",3,24-08-2023 16:20
Google Play,Very Good appp,5,24-08-2023 16:16
Google Play,👌,5,24-08-2023 16:08
Google Play,Just because,1,24-08-2023 15:42
Google Play,Best apps,5,24-08-2023 15:41
Google Play,There is no way to signup for this app. It is 100% dependent on an Instagram account. Sad.,1,24-08-2023 15:33
Google Play,Poor 8dea,1,24-08-2023 15:18
Google Play,:DD,1,24-08-2023 15:15
Google Play,"I am experiencing a frustrating bug with this app and I hope the developers can fix it soon. The bug occurs when I try to open multiple thread links from another app. The first link opens fine, but the second link does not load properly. It shows the content of the first link instead of the second one. The only way to open the second link is to close the app completely and then click on it (the link) again. This is very inconvenient and annoying. Please resolve this issue as soon as possible.",4,24-08-2023 14:58
Google Play,Nice,3,24-08-2023 14:55
Google Play,it is possible to share insta reels to threads right away?,3,24-08-2023 14:27
Google Play,Nice,5,24-08-2023 14:22
Google Play,If after singing in I am by default start following then why I can't get followers by default. It's an Instagram app so if I am following someone and that person is also following me on Instagram then why it doesn't happen in Threads by default because we have already approved each other in one app then what's the point of doing all that again. While copying X (Twitter) Meta has created mess and the most funny thing is you can't even delete this mess.,1,24-08-2023 14:11
Google Play,Phenomenal 🙌🏾,5,24-08-2023 13:57
Google Play,"What new innovation is it? It could be better if you try to challenge twitter with open source platform to revolutionize free speech. But this just seems like a new way to collecting the data and earning sales revenue. I order to delete thread profile, have to delete insta account as well. What a pathetic idea. Hope some one find the instagram replacement. So, I can delete both.",1,24-08-2023 13:43
Google Play,Bad clone of Twitter! 👎,1,24-08-2023 13:25
Google Play,It's good app i like to do editing program in the app,5,24-08-2023 12:40
Google Play,Sooo pointless..,1,24-08-2023 12:28
Google Play,It's very entertaining😍😍,5,24-08-2023 11:49
Google Play,Good application 👍,5,24-08-2023 11:11
Google Play,Nice,5,24-08-2023 10:40
Google Play,good,5,24-08-2023 10:15
Google Play,Good,5,24-08-2023 10:07
Google Play,Tati chenel,1,24-08-2023 9:59
Google Play,Totally bad.. I'm just seeing Brands accounts only.. It is just IG cringe users..,1,24-08-2023 9:43
Google Play,It's definitely have a specific audience,3,24-08-2023 9:40
Google Play,ဖြင့္လို႔မရဘုး,1,24-08-2023 9:02
Google Play,Wow nice feature ❣️😊😙,5,24-08-2023 8:57
Google Play,Its OK not great yet but could be easily,3,24-08-2023 8:24
Google Play,Un install threads and save ur data 😆,1,24-08-2023 8:13
Google Play,Waste,1,24-08-2023 8:08
Google Play,خررره,1,24-08-2023 7:51
Google Play,Knock off version of Twitter,1,24-08-2023 7:48
Google Play,Trash,1,24-08-2023 7:34
Google Play,"I really appreciate apps like this where you don't have to show much in order to share your ideas, views, opinions, etc.",4,24-08-2023 7:28
Google Play,"My posts fail to upload each time I try. Please, kindly look into this and fix Thanks",1,24-08-2023 7:24
Google Play,when it was launched i enjoyed much with people sharing love nd hate etc but now after 2 months it's getting bored and people are leaving this app day by day,3,24-08-2023 6:33
Google Play,Nice,1,24-08-2023 6:32
Google Play,Kijia,5,24-08-2023 6:22
Google Play,Good threads new app,5,24-08-2023 5:37
Google Play,"What happened? I cant login, the comformation code send to my phone number not correct, error and not only for threads also instagram.",3,24-08-2023 5:33
Google Play,Jay hind 🇳🇪,5,24-08-2023 5:29
Google Play,Op,4,24-08-2023 4:45
Google Play,Excelent,5,24-08-2023 4:13
Google Play,mast,5,24-08-2023 4:07
Google Play,Nise,5,24-08-2023 4:07
Google Play,This app is really good 👌,5,24-08-2023 3:46
Google Play,same as insta...no innovative...what's new in it...all is about Facebook algorithm...just making a cult of...& locked with Instagram...ho ho..,1,24-08-2023 3:37
Google Play,"No. I don't need to see random people threads on my homepage, I just want to see people I follow, thanks.",1,24-08-2023 3:31
Google Play,Terima Kasih atas bantuan dan pertolongannya 🙏,5,24-08-2023 3:23
Google Play,Nice,5,24-08-2023 3:21
Google Play,"Better it has ""sync thing"" in the next update. What are posted on instagram, it automatically sync into thread.",2,24-08-2023 3:19
Google Play,Nice,5,24-08-2023 3:01
Google Play,Tq,5,24-08-2023 2:02
Google Play,Nice aap I'm happy with 😊,4,24-08-2023 1:52
Google Play,As it's not there for PC and no new innovations,1,24-08-2023 1:29
Google Play,Fake Twitter,1,24-08-2023 0:47
Google Play,Please a option of chatting like in instagram but some next level chats and other thing. It would enhance the using of people,3,24-08-2023 0:44
Google Play,Buggy app! i am not able to post anything there,1,24-08-2023 0:40
Google Play,Good,5,24-08-2023 0:40
Google Play,so you can only use this app if you're a Instagram user?,1,24-08-2023 0:38
Google Play,"Just a janky, stale experience",1,23-08-2023 23:51
Google Play,I love this app ❤️😍,5,23-08-2023 23:36
Google Play,It just doesn't do enough.,1,23-08-2023 23:32
Google Play,Needs a dark mode,3,23-08-2023 23:02
Google Play,Uploading takes forever!!!!,1,23-08-2023 22:12
Google Play,Please@100+,5,23-08-2023 21:57
Google Play,Ronilocanquenala,5,23-08-2023 21:46
Google Play,Love it everyone should try it,5,23-08-2023 21:24
Google Play,"So bad why Bad, why can't I just watch who I follow, why explore and random?",1,23-08-2023 20:50
Google Play,Bekar app hai time waste,1,23-08-2023 19:18
Google Play,"The most important feature of social networks is that it does not have the ability to put hashtags. There is no possibility of correct arrangement of words and sentences in Persian writing, and words, sentences and symbols are inserted in different places. There is no way to know which followers are following us unless we check manually. It does not have the ability to tell a story. Direct message is not possible. Many settings are related to Instagram settings, which causes problems for this us",1,23-08-2023 19:09
Google Play,It's tied to Instagram... Uninstalled. I was hesitant anyway because of Meta. Lots of false positive AI generated reviews. Note: Im not a fan of Twitter.,1,23-08-2023 19:07
Google Play,"Hi This app is good app . Me not talk not good This is good App but more updates. New Update point ( video upload apsan, video create,and more . Thank you",3,23-08-2023 18:41
Google Play,"I love threads. Even though people say it's a Twitter copy, it's a great app. It just dropped, but it's amazing. Imagine after some improvements, I believe it'll definitely beat Twitter or X.",5,23-08-2023 18:18
Google Play,Not Bad at all Helps with my Music posts sometimes,4,23-08-2023 18:10
Google Play,Not interested nothing is special this app😒,1,23-08-2023 18:02
Google Play,Cópia não comédia,1,23-08-2023 18:00
Google Play,What a joke of an app. It's just a tunnel of lies and politics. It's nasty! X is way better!,1,23-08-2023 17:55
Google Play,my love free 🆓. cutie 🥰,1,23-08-2023 17:35
Google Play,🗑️🚮,1,23-08-2023 17:26
Google Play,Mark is a genius his projects are highly reviewed before going live. I enjoy using his works Thread is such an amazing app,4,23-08-2023 17:04
Google Play,Has to go Desktop before I will use it.,1,23-08-2023 17:00
Google Play,The overall experience of the app is good but the thing is I cannot change my bio since the very launch of this app. I have reported this bug 3 times through app but still nothing has been done so far. I hope developers will resolve this asap.,2,23-08-2023 16:26
Google Play,Very bad,3,23-08-2023 16:24
Google Play,Sandeep Paliwal,5,23-08-2023 16:23
Google Play,this is very bad at all interested in buying this for you,1,23-08-2023 16:19
Google Play,This app suck and is a poor attempt a Twitter now known as X clone that is nothing like X at all,1,23-08-2023 16:08
Google Play,ajib app hai Twitter ka soutela bhai hai ye app,1,23-08-2023 15:58
Google Play,Nice try,5,23-08-2023 15:56
Google Play,More Features Expected,2,23-08-2023 15:51
Google Play,"Was working great at first but suddenly decided that there was activity on an unknown device and has blocked access. It was only being used on one device. Tried uninstalling, power cycle, reinstall but no luck there. It is now uninstalled and will stay that way until there is a desktop version to try.",1,23-08-2023 15:30
Google Play,What's the point of this app exactly? Trying to make a new Twitter? Why not just integrate it to the already existing insta app?,1,23-08-2023 15:07
Google Play,"I really don't see the point in this app. Also, I really don't like how you can't delete your Threads account without deleting your Instagram.. edit: Can't get rid of the threads button. It's so dumb. I don't use it.",1,23-08-2023 14:58
Google Play,Bakwass,1,23-08-2023 14:48
Google Play,🤡Nice move Zuckerberg,1,23-08-2023 14:42
Google Play,Good,5,23-08-2023 14:22
Google Play,Very good!! Better than x🤮❣️,5,23-08-2023 14:20
Google Play,You can't do anything here,1,23-08-2023 13:58
Google Play,Please add this feature to readd the threads id to Instagram bio...,5,23-08-2023 13:50
Google Play,Images/videos are not maxed out edge to edge like in Instagram. I don't want to open the media to look at it.,1,23-08-2023 13:48
Google Play,It drags to much needs to be fixed.,1,23-08-2023 13:48
Google Play,It's so better than the twitter oo! Im sory the X 😒😒😒😑😑😑,5,23-08-2023 13:28
Google Play,Just get the web version to start asap,5,23-08-2023 13:26
Google Play,Pathetic act by Zuck 😤,1,23-08-2023 13:10
Google Play,"""Not available in your area"" THEN DON'T GIVE ME THE OPTION TO INSTALL IT",1,23-08-2023 13:05
Google Play,Want some more features,1,23-08-2023 12:41
Google Play,Zuckerberg sucks,1,23-08-2023 12:39
Google Play,Not as aspected,1,23-08-2023 12:37
Google Play,"It's just a copy of X, not much to do on it and don't see the point of copying X without adding any value.",1,23-08-2023 12:26
Google Play,"Requires and Instagram account, but you can't sign up, you need to also install Instagram.. not sure this is anymore than the Instagram app with slight rebranding. What the Zuck man? Where the Zuck is the fediverse?",1,23-08-2023 12:20
Google Play,Never experienced such a nice social media app. Hope it stays nice!,5,23-08-2023 11:53
Google Play,3rd class app is this,1,23-08-2023 11:49
Google Play,It's just not good enough,1,23-08-2023 11:41
Google Play,It works for me used daily!,5,23-08-2023 11:35
Google Play,"At first it was great. But then I started running into a lot of problems on this app. And I don't get why I have to have Instagram, ( I'm a 55 year old man who really doesn't care about Instagram why is it necessary for me to have it to get threads.🤬) robert 7909johnson soon-to-be leaving threads good luck everyone. 8/23/23.update still having problems 🤬",1,23-08-2023 11:23
Google Play,Waste app. Uninstalled it as it sucks.,1,23-08-2023 11:17
Google Play,okay 👍,5,23-08-2023 11:03
Google Play,Good 👍,5,23-08-2023 10:58
Google Play,Not interesting for use 😕,1,23-08-2023 10:24
Google Play,Kkok,5,23-08-2023 9:08
Google Play,"Basically a news app, especially when people of your interests use Instagram and not threads. Just use Twitter instead!!!",1,23-08-2023 8:51
Google Play,That's absolutely amazing 🤩,5,23-08-2023 8:49
Google Play,Very nice,3,23-08-2023 8:27
Google Play,Find ways to delete thread profile without having to deleting instagram account asap! worst app ever,1,23-08-2023 7:59
Google Play,"""Excited to join Threads! Ready to connect, share, and inspire with amazing individuals. Let's weave our stories together, creating a tapestry of growth and positivity. Here's to new beginnings! 🧵✨ #ThreadsApp",4,23-08-2023 7:44
Google Play,I updated my app and since I have been unable to use it. It keeps crashing and closing.,2,23-08-2023 7:43
Google Play,Bahot achha aap he,5,23-08-2023 7:43
Google Play,Well am new here but the time will show soon mean everything will soon Clear to me,5,23-08-2023 7:19
Google Play,"HOLY INGOD! HOLYTHREADSINGOD! HOLYThreadsINGOD! HOLYThreadINGOD! HOLYCONNECTIONINGOD! HOLInstagramINGOD! HOLYThreads, an Instagram appINGOD!",5,23-08-2023 6:21
Google Play,😔😔😡😡,1,23-08-2023 6:13
Google Play,Installing this app isn't a good idea if you concern about privacy ⚠️,1,23-08-2023 5:40
Google Play,Supper,5,23-08-2023 5:19
Google Play,Excellent,5,23-08-2023 5:14
Google Play,1 star for the love of Elon Musk,1,23-08-2023 5:13
Google Play,Twitter,1,23-08-2023 5:07
Google Play,"Guys, can't upload my threads today, any of them.... This is absolutely unacceptable!",4,23-08-2023 5:04
Google Play,So nice app,5,23-08-2023 4:39
Google Play,PRAJAPATI OM PRAKASH 2023 🚫😭 OM PRAKASH 500,1,23-08-2023 4:23
Google Play,"Yo, why profile being public can't be switched back to private?? Everytime i am trying to do so it is saying sorry we have encountered some problem..? Have been trying since 2 days.. and now if I am trying to delete my threads, it is saying to delete my instagram as well.. will you fix it or what? Will u do something or not?? I am writing for the second time reiterating the same. Now it is becoming irritating that I can't change my profile to private.. it is seriously threat to privacy.",2,23-08-2023 3:57
Google Play,Good app,5,23-08-2023 3:54
Google Play,Please follow me,1,23-08-2023 3:40
Google Play,Not,1,23-08-2023 3:35
Google Play,This app is amazing,5,23-08-2023 3:32
Google Play,Bad experience 😢,1,23-08-2023 3:15
Google Play,Best raha,5,23-08-2023 3:00
Google Play,very sad,1,23-08-2023 2:59
Google Play,Boring,1,23-08-2023 2:50
Google Play,Nobody using this app :) Junk..,1,23-08-2023 2:08
Google Play,Good,5,23-08-2023 2:03
Google Play,Good,5,23-08-2023 1:41
Google Play,Time wasting,2,23-08-2023 1:36
Google Play,The point of using this over IG is far from obvious.,2,23-08-2023 0:48
Google Play,Very nice application,5,23-08-2023 0:34
